# CLI tools — single source of truth. TAB-separated: binary <TAB> macos <TAB> debian <TAB> notes
# Method tokens:  brew:<formula>  cask:<name>  apt:<pkg>  cargo:<crate>
#                 script:<url> (curl -LsSf URL | sh)  builtin  manual  -  (skip)
# The "binary" column is the command you type (used for the `command -v` idempotency check).
# install/install-tools.sh reads this; brew/cask/apt/cargo are auto-installed, script/manual are printed.
#
# binary	macos	debian	notes
git	brew:git	apt:git
gh	brew:gh	manual	Debian: add cli.github.com apt repo (keyring + sources.list.d), then apt install gh
uv	brew:uv	script:https://astral.sh/uv/install.sh	not packaged; Astral installer
node	brew:node	apt:nodejs	or via nvm; Debian binary is `node` (pkg nodejs)
pnpm	brew:pnpm	manual	Debian: `corepack enable pnpm` (ships with node >= 16)
pipx	brew:pipx	apt:pipx	Debian 12+
direnv	brew:direnv	apt:direnv
jq	brew:jq	apt:jq
vim	brew:vim	apt:vim
delta	brew:git-delta	apt:git-delta	git pager; pre-trixie Debian: cargo:git-delta
glow	brew:glow	manual	Debian: Charm apt repo (repo.charm.sh)
docker	cask:docker	script:https://get.docker.com	Desktop on macOS / convenience script on Debian
deno	brew:deno	script:https://deno.land/install.sh	not in apt
rustup	script:https://sh.rustup.rs	script:https://sh.rustup.rs	provides cargo/rustc; run rustup-init with -y
pyenv	brew:pyenv	script:https://pyenv.run	Debian also needs Python build deps
nvm	brew:nvm	script:https://raw.githubusercontent.com/nvm-sh/nvm/v0.40.1/install.sh	shell function, not a PATH binary
hcloud	brew:hcloud	manual	Debian: download binary from github.com/hetznercloud/cli releases
kubectl	brew:kubernetes-cli	manual	Debian: pkgs.k8s.io apt repo
gsed	brew:gnu-sed	builtin	Linux `sed` is already GNU; macOS gets `gsed`
gtimeout	brew:coreutils	builtin	Linux has `timeout`; macOS gets `gtimeout` (used by sync.sh)
zed	cask:zed	script:https://zed.dev/install.sh	editor (GUI + CLI)
